hip,magnitude,ra_degrees,dec_degrees,parallax_mas,ra_mas_per_year,dec_mas_per_year,ra_hours,epoch_year,x,y
194,5.7,0.62398938,8.48557854,26.53,-93.55,-47.5,0.041599292,1991.25,0.906392180670346,1.2596366507672891
207,5.87,0.65034249,66.09896341,1.57,3.32,1.14,0.043356166,1991.25,0.146131547441998,0.5648508473558334
238,6.25,0.7392741,-20.04607402,16.16,100.38,78.95,0.049284940000000006,1991.25,2.1642470309599298,1.690294360788007
253,6.46,0.78257245,-24.14513788,6.78,59.32,-3.14,0.052171496666666664,1991.25,2.496737788164034,1.702380003264027
274,6.24,0.85715406,63.64052431,0.93,-3.27,-1.83,0.057143604,1991.25,0.1648320591167169,0.5871589716518226
301,4.55,0.93488487,-17.33597002,14.31,28.57,-7.28,0.062325658,1991.25,1.9766950386868114,1.6519933512593545
302,6.31,0.96511407,66.71220273,3.31,7.86,-8.15,0.064340938,1991.25,0.14292887321701148,0.5582906429992843
330,5.9,1.05693212,62.2876646,0.89,-0.99,-0.37,0.07046214133333333,1991.25,0.17585905439070926,0.599216376773597
343,5.78,1.08233885,-16.52888969,11.29,53.77,-60.27,0.07215592333333333,1991.25,1.9261421202175584,1.633965037163767
345,6.38,1.08457463,-29.26883006,7.75,29.15,3.44,0.07230497533333334,1991.25,2.996687589102868,1.6239137882452117
355,4.99,1.1255098,-10.50949443,2.03,-6.49,-11.88,0.07503398666666666,1991.25,1.588974654880128,1.550586749654744
